image,lesion
ISIC_0024962_0_0.jpg,MEL
ISIC_0024962_0_1.jpg,MEL
ISIC_0024962_0_2.jpg,MEL
ISIC_0024962_0_3.jpg,MEL
ISIC_0024962_0_4.jpg,MEL
ISIC_0024962_0_5.jpg,MEL
ISIC_0024962_0_6.jpg,MEL
ISIC_0024962_0_7.jpg,MEL
ISIC_0024962_0_8.jpg,MEL
ISIC_0024962_0_9.jpg,MEL
ISIC_0024962_0_10.jpg,MEL
ISIC_0024962_0_11.jpg,MEL
ISIC_0024962_0_12.jpg,MEL
ISIC_0024962_0_13.jpg,MEL
ISIC_0024962_0_14.jpg,MEL
ISIC_0024962_0_15.jpg,MEL
ISIC_0024962_0_16.jpg,MEL
ISIC_0024962_0_17.jpg,MEL
ISIC_0024962_0_18.jpg,MEL
ISIC_0024962_0_19.jpg,MEL
ISIC_0024962_0_20.jpg,MEL
ISIC_0024962_0_21.jpg,MEL
ISIC_0024962_0_22.jpg,MEL
ISIC_0024962_0_23.jpg,MEL
ISIC_0024962_0_24.jpg,MEL
ISIC_0024962_0_25.jpg,MEL
ISIC_0024962_0_26.jpg,MEL
ISIC_0024962_0_27.jpg,MEL
ISIC_0024962_0_28.jpg,MEL
ISIC_0024962_0_29.jpg,MEL
ISIC_0024962_0_30.jpg,MEL
ISIC_0024962_0_31.jpg,MEL
ISIC_0024962_0_32.jpg,MEL
ISIC_0024962_0_33.jpg,MEL
ISIC_0024962_0_34.jpg,MEL
ISIC_0024962_0_35.jpg,MEL
ISIC_0024962_0_36.jpg,MEL
ISIC_0024962_0_37.jpg,MEL
ISIC_0024962_0_38.jpg,MEL
ISIC_0024962_0_39.jpg,MEL
ISIC_0024962_0_40.jpg,MEL
ISIC_0024962_0_41.jpg,MEL
ISIC_0024962_0_42.jpg,MEL
ISIC_0024962_0_43.jpg,MEL
ISIC_0024962_0_44.jpg,MEL
ISIC_0024962_0_45.jpg,MEL
ISIC_0024962_0_46.jpg,MEL
ISIC_0024962_0_47.jpg,MEL
ISIC_0024962_0_48.jpg,MEL
ISIC_0024962_0_49.jpg,MEL
ISIC_0024962_1_0.jpg,MEL
ISIC_0024962_1_1.jpg,MEL
ISIC_0024962_1_2.jpg,MEL
ISIC_0024962_1_3.jpg,MEL
ISIC_0024962_1_4.jpg,MEL
ISIC_0024962_1_5.jpg,MEL
ISIC_0024962_1_6.jpg,MEL
ISIC_0024962_1_7.jpg,MEL
ISIC_0024962_1_8.jpg,MEL
ISIC_0024962_1_9.jpg,MEL
ISIC_0024962_1_10.jpg,MEL
ISIC_0024962_1_11.jpg,MEL
ISIC_0024962_1_12.jpg,MEL
ISIC_0024962_1_13.jpg,MEL
ISIC_0024962_1_14.jpg,MEL
ISIC_0024962_1_15.jpg,MEL
ISIC_0024962_1_16.jpg,MEL
ISIC_0024962_1_17.jpg,MEL
ISIC_0024962_1_18.jpg,MEL
ISIC_0024962_1_19.jpg,MEL
ISIC_0024962_1_20.jpg,MEL
ISIC_0024962_1_21.jpg,MEL
ISIC_0024962_1_22.jpg,MEL
ISIC_0024962_1_23.jpg,MEL
ISIC_0024962_1_24.jpg,MEL
ISIC_0024962_1_25.jpg,MEL
ISIC_0024962_1_26.jpg,MEL
ISIC_0024962_1_27.jpg,MEL
ISIC_0024962_1_28.jpg,MEL
ISIC_0024962_1_29.jpg,MEL
ISIC_0024962_1_30.jpg,MEL
ISIC_0024962_1_31.jpg,MEL
ISIC_0024962_1_32.jpg,MEL
ISIC_0024962_1_33.jpg,MEL
ISIC_0024962_1_34.jpg,MEL
ISIC_0024962_1_35.jpg,MEL
ISIC_0024962_1_36.jpg,MEL
ISIC_0024962_1_37.jpg,MEL
ISIC_0024962_1_38.jpg,MEL
ISIC_0024962_1_39.jpg,MEL
ISIC_0024962_1_40.jpg,MEL
ISIC_0024962_1_41.jpg,MEL
ISIC_0024962_1_42.jpg,MEL
ISIC_0024962_1_43.jpg,MEL
ISIC_0024962_1_44.jpg,MEL
ISIC_0024962_1_45.jpg,MEL
ISIC_0024962_1_46.jpg,MEL
ISIC_0024962_1_47.jpg,MEL
ISIC_0024962_1_48.jpg,MEL
ISIC_0024962_1_49.jpg,MEL
ISIC_0025927_0_0.jpg,MEL
ISIC_0025927_0_1.jpg,MEL
ISIC_0025927_0_2.jpg,MEL
ISIC_0025927_0_3.jpg,MEL
ISIC_0025927_0_4.jpg,MEL
ISIC_0025927_0_5.jpg,MEL
ISIC_0025927_0_6.jpg,MEL
ISIC_0025927_0_7.jpg,MEL
ISIC_0025927_0_8.jpg,MEL
ISIC_0025927_0_9.jpg,MEL
ISIC_0025927_0_10.jpg,MEL
ISIC_0025927_0_11.jpg,MEL
ISIC_0025927_0_12.jpg,MEL
ISIC_0025927_0_13.jpg,MEL
ISIC_0025927_0_14.jpg,MEL
ISIC_0025927_0_15.jpg,MEL
ISIC_0025927_0_16.jpg,MEL
ISIC_0025927_0_17.jpg,MEL
ISIC_0025927_0_18.jpg,MEL
ISIC_0025927_0_19.jpg,MEL
ISIC_0025927_0_20.jpg,MEL
ISIC_0025927_0_21.jpg,MEL
ISIC_0025927_0_22.jpg,MEL
ISIC_0025927_0_23.jpg,MEL
ISIC_0025927_0_24.jpg,MEL
ISIC_0025927_0_25.jpg,MEL
ISIC_0025927_0_26.jpg,MEL
ISIC_0025927_0_27.jpg,MEL
ISIC_0025927_0_28.jpg,MEL
ISIC_0025927_0_29.jpg,MEL
ISIC_0025927_0_30.jpg,MEL
ISIC_0025927_0_31.jpg,MEL
ISIC_0025927_0_32.jpg,MEL
ISIC_0025927_0_33.jpg,MEL
ISIC_0025927_0_34.jpg,MEL
ISIC_0025927_0_35.jpg,MEL
ISIC_0025927_0_36.jpg,MEL
ISIC_0025927_0_37.jpg,MEL
ISIC_0025927_0_38.jpg,MEL
ISIC_0025927_0_39.jpg,MEL
ISIC_0025927_0_40.jpg,MEL
ISIC_0025927_0_41.jpg,MEL
ISIC_0025927_0_42.jpg,MEL
ISIC_0025927_0_43.jpg,MEL
ISIC_0025927_0_44.jpg,MEL
ISIC_0025927_0_45.jpg,MEL
ISIC_0025927_0_46.jpg,MEL
ISIC_0025927_0_47.jpg,MEL
ISIC_0025927_0_48.jpg,MEL
ISIC_0025927_0_49.jpg,MEL
ISIC_0025927_1_0.jpg,MEL
ISIC_0025927_1_1.jpg,MEL
ISIC_0025927_1_2.jpg,MEL
ISIC_0025927_1_3.jpg,MEL
ISIC_0025927_1_4.jpg,MEL
ISIC_0025927_1_5.jpg,MEL
ISIC_0025927_1_6.jpg,MEL
ISIC_0025927_1_7.jpg,MEL
ISIC_0025927_1_8.jpg,MEL
ISIC_0025927_1_9.jpg,MEL
ISIC_0025927_1_10.jpg,MEL
ISIC_0025927_1_11.jpg,MEL
ISIC_0025927_1_12.jpg,MEL
ISIC_0025927_1_13.jpg,MEL
ISIC_0025927_1_14.jpg,MEL
ISIC_0025927_1_15.jpg,MEL
ISIC_0025927_1_16.jpg,MEL
ISIC_0025927_1_17.jpg,MEL
ISIC_0025927_1_18.jpg,MEL
ISIC_0025927_1_19.jpg,MEL
ISIC_0025927_1_20.jpg,MEL
ISIC_0025927_1_21.jpg,MEL
ISIC_0025927_1_22.jpg,MEL
ISIC_0025927_1_23.jpg,MEL
ISIC_0025927_1_24.jpg,MEL
ISIC_0025927_1_25.jpg,MEL
ISIC_0025927_1_26.jpg,MEL
ISIC_0025927_1_27.jpg,MEL
ISIC_0025927_1_28.jpg,MEL
ISIC_0025927_1_29.jpg,MEL
ISIC_0025927_1_30.jpg,MEL
ISIC_0025927_1_31.jpg,MEL
ISIC_0025927_1_32.jpg,MEL
ISIC_0025927_1_33.jpg,MEL
ISIC_0025927_1_34.jpg,MEL
ISIC_0025927_1_35.jpg,MEL
ISIC_0025927_1_36.jpg,MEL
ISIC_0025927_1_37.jpg,MEL
ISIC_0025927_1_38.jpg,MEL
ISIC_0025927_1_39.jpg,MEL
ISIC_0025927_1_40.jpg,MEL
ISIC_0025927_1_41.jpg,MEL
ISIC_0025927_1_42.jpg,MEL
ISIC_0025927_1_43.jpg,MEL
ISIC_0025927_1_44.jpg,MEL
ISIC_0025927_1_45.jpg,MEL
ISIC_0025927_1_46.jpg,MEL
ISIC_0025927_1_47.jpg,MEL
ISIC_0025927_1_48.jpg,MEL
ISIC_0025927_1_49.jpg,MEL
ISIC_0032149_0_0.jpg,MEL
ISIC_0032149_0_1.jpg,MEL
ISIC_0032149_0_2.jpg,MEL
ISIC_0032149_0_3.jpg,MEL
ISIC_0032149_0_4.jpg,MEL
ISIC_0032149_0_5.jpg,MEL
ISIC_0032149_0_6.jpg,MEL
ISIC_0032149_0_7.jpg,MEL
ISIC_0032149_0_8.jpg,MEL
ISIC_0032149_0_9.jpg,MEL
ISIC_0032149_0_10.jpg,MEL
ISIC_0032149_0_11.jpg,MEL
ISIC_0032149_0_12.jpg,MEL
ISIC_0032149_0_13.jpg,MEL
ISIC_0032149_0_14.jpg,MEL
ISIC_0032149_0_15.jpg,MEL
ISIC_0032149_0_16.jpg,MEL
ISIC_0032149_0_17.jpg,MEL
ISIC_0032149_0_18.jpg,MEL
ISIC_0032149_0_19.jpg,MEL
ISIC_0032149_0_20.jpg,MEL
ISIC_0032149_0_21.jpg,MEL
ISIC_0032149_0_22.jpg,MEL
ISIC_0032149_0_23.jpg,MEL
ISIC_0032149_0_24.jpg,MEL
ISIC_0032149_0_25.jpg,MEL
ISIC_0032149_0_26.jpg,MEL
ISIC_0032149_0_27.jpg,MEL
ISIC_0032149_0_28.jpg,MEL
ISIC_0032149_0_29.jpg,MEL
ISIC_0032149_0_30.jpg,MEL
ISIC_0032149_0_31.jpg,MEL
ISIC_0032149_0_32.jpg,MEL
ISIC_0032149_0_33.jpg,MEL
ISIC_0032149_0_34.jpg,MEL
ISIC_0032149_0_35.jpg,MEL
ISIC_0032149_0_36.jpg,MEL
ISIC_0032149_0_37.jpg,MEL
ISIC_0032149_0_38.jpg,MEL
ISIC_0032149_0_39.jpg,MEL
ISIC_0032149_0_40.jpg,MEL
ISIC_0032149_0_41.jpg,MEL
ISIC_0032149_0_42.jpg,MEL
ISIC_0032149_0_43.jpg,MEL
ISIC_0032149_0_44.jpg,MEL
ISIC_0032149_0_45.jpg,MEL
ISIC_0032149_0_46.jpg,MEL
ISIC_0032149_0_47.jpg,MEL
ISIC_0032149_0_48.jpg,MEL
ISIC_0032149_0_49.jpg,MEL
ISIC_0032149_1_0.jpg,MEL
ISIC_0032149_1_1.jpg,MEL
ISIC_0032149_1_2.jpg,MEL
ISIC_0032149_1_3.jpg,MEL
ISIC_0032149_1_4.jpg,MEL
ISIC_0032149_1_5.jpg,MEL
ISIC_0032149_1_6.jpg,MEL
ISIC_0032149_1_7.jpg,MEL
ISIC_0032149_1_8.jpg,MEL
ISIC_0032149_1_9.jpg,MEL
ISIC_0032149_1_10.jpg,MEL
ISIC_0032149_1_11.jpg,MEL
ISIC_0032149_1_12.jpg,MEL
ISIC_0032149_1_13.jpg,MEL
ISIC_0032149_1_14.jpg,MEL
ISIC_0032149_1_15.jpg,MEL
ISIC_0032149_1_16.jpg,MEL
ISIC_0032149_1_17.jpg,MEL
ISIC_0032149_1_18.jpg,MEL
ISIC_0032149_1_19.jpg,MEL
ISIC_0032149_1_20.jpg,MEL
ISIC_0032149_1_21.jpg,MEL
ISIC_0032149_1_22.jpg,MEL
ISIC_0032149_1_23.jpg,MEL
ISIC_0032149_1_24.jpg,MEL
ISIC_0032149_1_25.jpg,MEL
ISIC_0032149_1_26.jpg,MEL
ISIC_0032149_1_27.jpg,MEL
ISIC_0032149_1_28.jpg,MEL
ISIC_0032149_1_29.jpg,MEL
ISIC_0032149_1_30.jpg,MEL
ISIC_0032149_1_31.jpg,MEL
ISIC_0032149_1_32.jpg,MEL
ISIC_0032149_1_33.jpg,MEL
ISIC_0032149_1_34.jpg,MEL
ISIC_0032149_1_35.jpg,MEL
ISIC_0032149_1_36.jpg,MEL
ISIC_0032149_1_37.jpg,MEL
ISIC_0032149_1_38.jpg,MEL
ISIC_0032149_1_39.jpg,MEL
ISIC_0032149_1_40.jpg,MEL
ISIC_0032149_1_41.jpg,MEL
ISIC_0032149_1_42.jpg,MEL
ISIC_0032149_1_43.jpg,MEL
ISIC_0032149_1_44.jpg,MEL
ISIC_0032149_1_45.jpg,MEL
ISIC_0032149_1_46.jpg,MEL
ISIC_0032149_1_47.jpg,MEL
ISIC_0032149_1_48.jpg,MEL
ISIC_0032149_1_49.jpg,MEL
